Pregnancy ID,Timepoint,A Wave Latency (OD) (mSec),A Wave Amplitude (OD) (uV),B Wave Latency (OD) (mSec),B Wave Amp (OD) (uV),N70 Latency (RH) (mSec),N70 Amplitude (RH) (uV),P90 Latency (RH) (mSec),P90 Amp (RH) (uV),A Wave Latency (OS) (mSec),A Wave Amplitude (OS) (uV),B Wave Latency (OS) (mSec),B Wave Amp (OS) (uV),N70 Latency (LH) (mSec),N70 Amplitude (LH) (uV),P90 Latency (LH) (mSec),P90 Amp (LH) (uV)
T,12 Month,10,-19.40273351,24,157.5008291,69,22.62383141,104,17.53883841,10,-18.84394687,24,131.0182662,70,16.63962049,114,27.81544837
U,1 Month,11.5,-16.3257807,25.5,76.3058819,35,7.394512401,66,110.6968361,11,-15.8155152,25.5,90.6688622,35,1.152495321,60.5,95.34255147
U,3 Month,11.5,-17.5337576,24.5,87.9210888,35,62.85730969,56,75.70946891,11,-17.1166943,24.5,111.8079958,35,35.66198561,64.5,99.05864029
U,6 Month,10,-23.28328323,23.5,184.4667529,91.5,40.95138866,120,45.89876361,10,-19.41823837,23.5,127.1290222,84,68.95351646,121,50.90044984
U,9 Month,10,-19.29520945,23.5,140.0437055,90.5,21.32536836,120.5,41.35327965,10,-21.61878616,24,141.8282992,81,42.94088744,102,2.65510173
U,12 Month,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
V,1 Month,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
V,3 Month,11,-22.1558288,25,135.0424398,23.5,-4.921171686,71,109.7521925,10.5,-21.8129097,25.5,131.2691377,27,-18.56240751,71.5,151.1693368
V,6 Month,10,-29.535553,24,190.227522,80,61.29068391,123,69.84270829,10,-22.7827913,24.5,142.7472793,76.5,50.06944264,135.5,69.61359206
V,9 Month,10,-20.5342159,23.5,135.5134129,86.5,25.02511944,125,14.62273959,10,-19.7655617,24,117.6612364,83,19.29260941,131.5,23.55033842
V,12 Month,10,-25.4678982,23,170.547985,76.5,18.09352499,129,21.47841797,10,-19.52260975,23.5,132.5005694,79,5.010982905,120,35.08148543
Not done (ND),,,,,,,,,,,,,,,,,
Left eye (OS),,,,,,,,,,,,,,,,,
Right eye (OD),,,,,,,,,,,,,,,,,
Right hemisphere (RH),,,,,,,,,,,,,,,,,
Left hemisphere (LH),,,,,,,,,,,,,,,,,
